[1696796457.8775] Target device IP address: 10.12.6.5
[1696796457.8776] Target device NTCIP port: 501
[1696796457.8776] Verifying the network connection with the target SNMP device...
[1696796457.8776] PING test begins
[1696796457.8819] PING test successful
[1696796457.8819] Successfully verified the network connection with the target SNMP device
[1696796457.8835] Ready to forward SNMP GET/SET requests
[1696796473.6956] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.3.3.0; Value=2
[1696796473.6978] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.1.1; Value=1
[1696796473.6997] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.1.2; Value=2
[1696796473.7016] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.1.3; Value=3
[1696796473.7034] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.1.4; Value=4
[1696796473.7053] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.1.5; Value=5
[1696796473.7073] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.1.6; Value=6
[1696796473.7091] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.1.7; Value=7
[1696796473.7110] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.1.8; Value=8
[1696796473.7128] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.2.1; Value=0
[1696796473.7147] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.2.2; Value=7
[1696796473.7166] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.2.3; Value=0
[1696796473.7184] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.2.4; Value=7
[1696796473.7204] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.2.5; Value=0
[1696796473.7222] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.2.6; Value=7
[1696796473.7240] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.2.7; Value=0
[1696796473.7259] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.2.8; Value=7
[1696796473.7277] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.3.1; Value=0
[1696796473.7296] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.3.2; Value=8
[1696796473.7315] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.3.3; Value=0
[1696796473.7333] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.3.4; Value=8
[1696796473.7352] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.3.5; Value=0
[1696796473.7371] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.3.6; Value=8
[1696796473.7390] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.3.7; Value=0
[1696796473.7408] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.3.8; Value=8
[1696796473.7426] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.4.1; Value=5
[1696796473.7445] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.4.2; Value=10
[1696796473.7462] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.4.3; Value=5
[1696796473.7482] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.4.4; Value=5
[1696796473.7501] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.4.5; Value=5
[1696796473.7519] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.4.6; Value=10
[1696796473.7538] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.4.7; Value=5
[1696796473.7557] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.4.8; Value=5
[1696796473.7574] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.5.1; Value=40
[1696796473.7593] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.5.2; Value=50
[1696796473.7662] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.5.3; Value=40
[1696796473.7680] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.5.4; Value=50
[1696796473.7699] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.5.5; Value=40
[1696796473.7720] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.5.6; Value=50
[1696796473.7739] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.5.7; Value=40
[1696796473.7758] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.5.8; Value=50
[1696796473.7778] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.6.1; Value=25
[1696796473.7796] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.6.2; Value=35
[1696796473.7815] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.6.3; Value=25
[1696796473.7833] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.6.4; Value=35
[1696796473.7852] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.6.5; Value=25
[1696796473.7871] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.6.6; Value=35
[1696796473.7889] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.6.7; Value=25
[1696796473.7908] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.6.8; Value=35
[1696796473.7926] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.8.1; Value=40
[1696796473.7945] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.8.2; Value=40
[1696796473.7964] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.8.3; Value=40
[1696796473.7982] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.8.4; Value=40
[1696796473.8001] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.8.5; Value=40
[1696796473.8020] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.8.6; Value=40
[1696796473.8039] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.8.7; Value=40
[1696796473.8059] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.8.8; Value=40
[1696796473.8077] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.9.1; Value=10
[1696796473.8093] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.9.2; Value=10
[1696796473.8110] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.9.3; Value=10
[1696796473.8125] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.9.4; Value=10
[1696796473.8142] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.9.5; Value=10
[1696796473.8158] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.9.6; Value=10
[1696796473.8174] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.9.7; Value=10
[1696796473.8190] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.9.8; Value=10
[1696796473.8207] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.22.1; Value=1
[1696796473.8223] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.22.2; Value=1
[1696796473.8240] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.22.3; Value=1
[1696796473.8256] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.22.4; Value=1
