[1696796370.2736] Target device IP address: 10.12.6.5
[1696796370.2737] Target device NTCIP port: 501
[1696796370.2737] Verifying the network connection with the target SNMP device...
[1696796370.2737] PING test begins
[1696796370.2778] PING test successful
[1696796370.2779] Successfully verified the network connection with the target SNMP device
[1696796370.2793] Ready to forward SNMP GET/SET requests
[1696796388.1399] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.3.3.0; Value=2
[1696796388.1422] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.1.1; Value=1
[1696796388.1442] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.1.2; Value=2
[1696796388.1461] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.1.3; Value=3
[1696796388.1479] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.1.4; Value=4
[1696796388.1499] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.1.5; Value=5
[1696796388.1518] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.1.6; Value=6
[1696796388.1538] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.1.7; Value=7
[1696796388.1558] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.1.8; Value=8
[1696796388.1621] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.2.1; Value=0
[1696796388.1642] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.2.2; Value=7
[1696796388.1660] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.2.3; Value=0
[1696796388.1680] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.2.4; Value=7
[1696796388.1700] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.2.5; Value=0
[1696796388.1720] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.2.6; Value=7
[1696796388.1740] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.2.7; Value=0
[1696796388.1759] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.2.8; Value=7
[1696796388.1779] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.3.1; Value=0
[1696796388.1799] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.3.2; Value=8
[1696796388.1819] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.3.3; Value=0
[1696796388.1839] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.3.4; Value=8
[1696796388.1859] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.3.5; Value=0
[1696796388.1879] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.3.6; Value=8
[1696796388.1899] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.3.7; Value=0
[1696796388.1919] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.3.8; Value=8
[1696796388.1939] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.4.1; Value=5
[1696796388.1959] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.4.2; Value=10
[1696796388.1979] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.4.3; Value=5
[1696796388.1998] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.4.4; Value=5
[1696796388.2019] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.4.5; Value=5
[1696796388.2038] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.4.6; Value=10
[1696796388.2058] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.4.7; Value=5
[1696796388.2078] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.4.8; Value=5
[1696796388.2097] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.5.1; Value=40
[1696796388.2117] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.5.2; Value=50
[1696796388.2137] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.5.3; Value=40
[1696796388.2156] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.5.4; Value=50
[1696796388.2175] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.5.5; Value=40
[1696796388.2195] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.5.6; Value=50
[1696796388.2213] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.5.7; Value=40
[1696796388.2233] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.5.8; Value=50
[1696796388.2251] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.6.1; Value=25
[1696796388.2271] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.6.2; Value=35
[1696796388.2290] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.6.3; Value=25
[1696796388.2310] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.6.4; Value=35
[1696796388.2332] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.6.5; Value=25
[1696796388.2351] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.6.6; Value=35
[1696796388.2372] SUCCESS in GET for OID:1.3.6.1.4.1.1206.4.2.1.1.2.1.6.7; Value=25
